id,symbol,name,current_price,24h_change_%,7d_change_%,type
hash-2,hash,Provenance Blockchain,0.03593955,8.37608914091426,-5.179339389629689,gainer_24h
mantle,mnt,Mantle,2.13,5.331033059651605,16.180335713238854,gainer_24h
wbnb,wbnb,Wrapped BNB,1217.01,4.166609842594608,20.458030513041845,gainer_24h
binancecoin,bnb,BNB,1216.78,4.008279858376349,20.77217515639639,gainer_24h
aster-2,aster,Aster,2.07,3.5249534934152935,7.304816673483266,gainer_24h
zcash,zec,Zcash,164.51,2.6549434808402936,149.07805998972236,gainer_24h
memecore,m,MemeCore,2.1,1.698111497958571,-8.739794250586325,gainer_24h
plasma,xpl,Plasma,0.884719,0.8613009738823272,-33.03894387687642,gainer_24h
bitget-token,bgb,Bitget Token,5.54,0.6472270799828275,6.308238527349784,gainer_24h
kucoin-shares,kcs,KuCoin,16.04,0.2423566004373048,5.58063476740027,gainer_24h
pump-fun,pump,Pump.fun,0.00639926,-9.077386905056914,12.294044740232872,loser_24h
pudgy-penguins,pengu,Pudgy Penguins,0.03118506,-8.086148864062231,10.032765919333348,loser_24h
ethena,ena,Ethena,0.585663,-6.848968674150186,0.7304180495771362,loser_24h
near,near,NEAR Protocol,2.96,-5.8480410307340405,5.785496680296551,loser_24h
bonk,bonk,Bonk,2.001e-05,-5.495752394292796,4.937110684776974,loser_24h
monero,xmr,Monero,319.98,-5.139095811015028,10.95418978490315,loser_24h
fetch-ai,fet,Artificial Superintelligence Alliance,0.580718,-4.637001685298733,1.5789842219640755,loser_24h
hyperliquid,hype,Hyperliquid,48.87,-3.8431674065547927,2.332191357105449,loser_24h
kinetic-staked-hype,khype,Kinetiq Staked HYPE,49.04,-3.8210904044875122,2.130720990701299,loser_24h
worldcoin-wld,wld,Worldcoin,1.26,-3.7079567837637066,-3.6550319656607577,loser_24h
zcash,zec,Zcash,164.51,2.6549434808402936,149.07805998972236,gainer_7d
aptos,apt,Aptos,5.35,-2.566085105992441,24.5575301735515,gainer_7d
binancecoin,bnb,BNB,1216.78,4.008279858376349,20.77217515639639,gainer_7d
wbnb,wbnb,Wrapped BNB,1217.01,4.166609842594608,20.458030513041845,gainer_7d
okb,okb,OKB,225.92,-0.33853935334021273,17.220069406710717,gainer_7d
mantle,mnt,Mantle,2.13,5.331033059651605,16.180335713238854,gainer_7d
litecoin,ltc,Litecoin,120.48,-1.0241410951123722,13.25738201345896,gainer_7d
pump-fun,pump,Pump.fun,0.00639926,-9.077386905056914,12.294044740232872,gainer_7d
jito-staked-sol,jitosol,Jito Staked SOL,288.35,-0.8201679349526851,11.820859531363018,gainer_7d
binance-staked-sol,bnsol,Binance Staked SOL,251.17,-1.0177411864796129,11.585680467512224,gainer_7d
plasma,xpl,Plasma,0.884719,0.8613009738823272,-33.03894387687642,loser_7d
memecore,m,MemeCore,2.1,1.698111497958571,-8.739794250586325,loser_7d
world-liberty-financial,wlfi,World Liberty Financial,0.199928,-1.3393941353680774,-7.091709739990488,loser_7d
hash-2,hash,Provenance Blockchain,0.03593955,8.37608914091426,-5.179339389629689,loser_7d
flare-networks,flr,Flare,0.0242939,-1.4819286526547226,-4.832987556890087,loser_7d
worldcoin-wld,wld,Worldcoin,1.26,-3.7079567837637066,-3.6550319656607577,loser_7d
story-2,ip,Story,9.54,-1.9212404643610883,-2.5066877584599485,loser_7d
pi-network,pi,Pi Network,0.260576,-0.6224595010894497,-2.289302203179765,loser_7d
kaspa,kas,Kaspa,0.076528,-1.119469860435301,-0.38886085858883107,loser_7d
ethena-usde,usde,Ethena USDe,1.0,0.036995958931453535,-0.08020702107084891,loser_7d
